Configuration,DetailedConfiguration,Run,TotalDeliveries,AvgDeliveryTime,DeliveryTimeSD,AvgEarnings,EarningsSD,AvgDeliveriesPerCourier,DeliveriesPerCourierSD,CourierUtilization,WaitingPercentage,SearchingPercentage,EarningsPerHour,OnTheFlyJobs,MemoryJobs,JobTypeRatio,AvgJobsPerCourier,JobsPerCourierSD
"autonomy-level=0_cooperativeness-level=2","autonomy-level=0_cooperativeness-level=2_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_14,2606,"53.6992","54.9621","14038.3087","1181.7218","434.3333","17.1775","0.2713","67.0909","0","3509.5772",0,"2608","0","434.3333","17.1775"
"autonomy-level=0_cooperativeness-level=2","autonomy-level=0_cooperativeness-level=2_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_15,2594,"59.1415","51.3095","15029.346","2260.2875","432.3333","34.8635","0.025","64.7967","0","3757.3365",0,"2594","0","432.3333","34.8635"
"autonomy-level=0_cooperativeness-level=3","autonomy-level=0_cooperativeness-level=3_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_1,2576,"47.5765","46.5061","13088.1555","2398.0981","429.3333","23.9639","0.2059","69.287","0","3272.0389",0,"2577","0","429.3333","23.9639"
"autonomy-level=0_cooperativeness-level=3","autonomy-level=0_cooperativeness-level=3_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_2,2610,"59.8257","50.9277","15435.5421","1401.3873","435","23.0217","0.142","63.8605","0","3858.8855",0,"2610","0","435","23.0217"
"autonomy-level=0_cooperativeness-level=3","autonomy-level=0_cooperativeness-level=3_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_3,2648,"72.2406","63.9032","17286.2017","1444.8536","441.3333","30.5919","0.0701","59.5613","0","4321.5504",0,"2649","0","441.3333","30.5919"
"autonomy-level=0_cooperativeness-level=3","autonomy-level=0_cooperativeness-level=3_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_4,2589,"70.1058","63.2507","16759.8398","1283.3023","431.5","18.6949","0.0378","60.7849","0","4189.9599",0,"2590","0","431.5","18.6949"
"autonomy-level=0_cooperativeness-level=3","autonomy-level=0_cooperativeness-level=3_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_5,2605,"71.871","67.91","17184.736","1417.264","434.1667","20.8463","0.0468","59.8071","0","4296.184",0,"2605","0","434.1667","20.8463"
"autonomy-level=0_cooperativeness-level=3","autonomy-level=0_cooperativeness-level=3_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_6,2600,"52.8","45.9341","13967.922","1216.7428","433.3333","20.3437","0.2244","67.2442","0","3491.9805",0,"2602","0","433.3333","20.3437"
"autonomy-level=0_cooperativeness-level=3","autonomy-level=0_cooperativeness-level=3_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_7,2610,"53.8831","48.4482","14282.5881","2066.2584","435","16.8879","0.1","66.533","0","3570.647",0,"2610","0","435","16.8879"
"autonomy-level=0_cooperativeness-level=3","autonomy-level=0_cooperativeness-level=3_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_8,2590,"45.1907","38.2704","12516.3238","1367.1496","431.6667","17.8512","0.0748","70.6128","0","3129.0809",0,"2591","0","431.6667","17.8512"
"autonomy-level=0_cooperativeness-level=3","autonomy-level=0_cooperativeness-level=3_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_9,2638,"50.1922","41.9392","13728.6953","1780.3101","439.6667","19.9064","0.1001","67.7826","0","3432.1738",0,"2639","0","439.6667","19.9064"
"autonomy-level=0_cooperativeness-level=3","autonomy-level=0_cooperativeness-level=3_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_10,2640,"59.5674","53.6695","15511.1936","2112.1983","440","25.0918","0.1763","63.6688","0","3877.7984",0,"2641","0","440","25.0918"
"autonomy-level=0_cooperativeness-level=3","autonomy-level=0_cooperativeness-level=3_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_11,2666,"44.623","37.2205","12827.2644","1350.4463","444.3333","10.7641","0.0338","69.8852","0","3206.8161",0,"2667","0","444.3333","10.7641"
"autonomy-level=0_cooperativeness-level=3","autonomy-level=0_cooperativeness-level=3_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_12,2643,"80.286","79.3448","18228.7941","2401.7092","440.5","33.709","0.0058","57.3895","0","4557.1985",0,"2643","0","440.5","33.709"
"autonomy-level=0_cooperativeness-level=3","autonomy-level=0_cooperativeness-level=3_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_13,2579,"63.9546","59.1136","15820.2724","2394.6995","429.8333","14.8918","0.2487","62.9792","0","3955.0681",0,"2579","0","429.8333","14.8918"
"autonomy-level=0_cooperativeness-level=3","autonomy-level=0_cooperativeness-level=3_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_14,2560,"52.9309","49.1918","13757.176","1434.9873","426.6667","18.1071","0.1839","67.7442","0","3439.294",0,"2561","0","426.6667","18.1071"
